Year,Inflation Rate,Inflation rate( %)
2000,3.3599999999999999,3.3599999999999999
2001,2.8500000000000001,2.8500000000000001
2002,1.5800000000000001,1.5800000000000001
2003,2.2800000000000002,2.2800000000000002
2004,2.6599999999999997,2.6599999999999997
2005,3.3900000000000001,3.3900000000000001
2006,3.2300000000000004,3.2300000000000004
2007,0.028500000000000001,2.8500000000000001
2008,0.038399999999999997,3.8399999999999999
2009,-0.0035999999999999999,-0.35999999999999999
2010,0.016400000000000001,1.6400000000000001
2011,0.031600000000000003,3.1600000000000001
2012,0.0207,2.0699999999999998
2013,0.0146,1.46
2014,0.016199999999999999,1.6199999999999999
2015,0.0011999999999999999,0.12
2016,0.0126,1.26
2017,0.021299999999999999,2.1299999999999999
2018,0.024899999999999999,2.4899999999999998
2019,0.017600000000000001,1.76
2020,0.0123,1.23
2021,0.047,4.7000000000000002
2022,0.093399999999999997,9.3399999999999999
